timestamp,type,total
2025-03-24 15:05:00+00:00,cash,5.99
2025-03-24 15:08:00+00:00,cash,0
2025-03-24 15:16:00+00:00,cash,5.99
2025-03-24 15:29:00+00:00,cash,4.99
2025-03-24 15:36:00+00:00,cash,5.99
2025-03-24 15:40:00+00:00,cash,5.99
2025-03-24 15:46:00+00:00,cash,5.99
2025-03-24 15:53:00+00:00,cash,6.99
2025-03-24 16:06:00+00:00,cash,6.99
2025-03-24 16:12:00+00:00,cash,5.99
2025-03-24 16:16:00+00:00,cash,
2025-03-24 16:21:00+00:00,cash,5.99
2025-03-24 16:26:00+00:00,cash,4.99
2025-03-24 16:30:00+00:00,cash,5.99
2025-03-24 16:36:00+00:00,cash,6.99
2025-03-24 16:44:00+00:00,cash,5.99
2025-03-24 16:56:00+00:00,cash,5.99
